Year,id,Country Name,lnGNI,lnNCDs,lnSFI,lnOPhE,lnIWR,GNI,,,,,,,,,,,,,,,,OPHE,lnGNI,OD,IWR,5.478607144
2000,1,Albania,7.064759028,4.418840608,4.423648309,4.156053615,4.565389316,1170,,,,,,,,,,,,,,,,63.81917,7.064759028,0.9,96.1,4.115827098
2012,1,Albania,8.380227336,4.494238625,4.522874943,3.929747003,4.558078578,4359.999999,,,,,,,,,,,,,,,,50.8941,8.380227336,0.2,95.4,5.814933467
2000,2,Algeria,7.371489295,4.241326753,4.42604352,3.250161679,4.494238625,1590,,,,,,,,,,,,,,,,25.79451,7.371489295,6.4,89.5,2.827264662
2012,2,Algeria,8.556413905,4.347693956,4.465908119,3.246497218,4.441474093,5200.000002,,,,,,,,,,,,,,,,25.70016,8.556413905,1.7,84.9,5.124125975
2000,3,Angola,5.966146739,2.809402695,3.46885603,3.114461972,3.822098298,390,,,,,,,,,,,,,,,,22.52131,5.966146739,53.1,45.7,6.560896277
2012,3,Angola,8.328451067,3.18221184,3.893859035,3.177112137,3.867025639,4140.000001,,,,,,,,,,,,,,,,23.97741,8.328451067,32.9,47.8,6.58864356
2000,4,Argentina,8.914626128,4.385769621,4.515245478,3.368471346,4.567468319,7440.000001,,,,,,,,,,,,,,,,29.03411,8.914626128,1.5,96.3,3.659174423
2012,4,Argentina,9.381769488,4.399375273,4.559126247,3.291008934,4.591071262,11870,,,,,,,,,,,,,,,,26.86996,9.381769488,1.5,98.6,5.010155587
2000,5,Armenia,6.492239835,4.507557357,4.492001488,4.348321831,4.528289142,660,,,,,,,,,,,,,,,,77.34855,6.492239835,0.1,92.6,3.411066052
2012,5,Armenia,8.232174236,4.520701029,4.494238625,3.999480799,4.602165677,3759.999999,,,,,,,,,,,,,,,,54.56981,8.232174236,0.01,99.7,5.990207329
2000,6,Azerbaijan,6.413458957,4.32677816,4.183575696,4.14735786,4.305415532,609.9999999,,,,,,,,,,,,,,,,63.26662,6.413458957,0.1,74.1,2.211223313
2012,6,Azerbaijan,8.74671635,4.432006567,4.439115602,4.234435001,4.436751534,6290.000002,,,,,,,,,,,,,,,,69.02267,8.74671635,0.3,84.5,3.241854153
2000,7,Bangladesh,6.040254711,3.768152635,3.815512105,4.056601157,4.33073334,419.9999999,,,,,,,,,,,,,,,,57.7776,6.040254711,19.2,76,4.31702987
2012,7,Bangladesh,6.856461985,4.077537444,4.055257174,4.147946149,4.440295543,950.0000004,,,,,,,,,,,,,,,,63.30385,6.856461985,2.4,84.8,5.81701044
2000,8,Belarus,7.229838778,4.463606622,4.551769409,2.639422977,4.600157644,1380,,,,,,,,,,,,,,,,14.00512,7.229838778,0.01,99.5,4.895781157
2012,8,Belarus,8.764053269,4.48638665,4.547541073,2.968479775,4.602165677,6399.999998,,,,,,,,,,,,,,,,19.46231,8.764053269,0.01,99.7,5.540840082
2000,9,Belize,8.055157732,4.092676505,4.415219602,3.663720864,4.443827036,3150.000001,,,,,,,,,,,,,,,,39.00621,8.055157732,4.1,85.1,2.689806171
2012,9,Belize,8.357024439,4.180522258,4.502029427,3.177677926,4.598145571,4259.999999,,,,,,,,,,,,,,,,23.99098,8.357024439,2.4,99.3,3.596070886
2000,10,Benin,5.966146739,3.261935314,2.4765384,4.020721344,4.189654742,390,,,,,,,,,,,,,,,,55.7413,5.966146739,68.7,66,3.985328272
2012,10,Benin,6.672032945,3.586292865,2.912350665,3.659557229,4.333361463,789.9999996,,,,,,,,,,,,,,,,38.84414,6.672032945,55.8,76.2,4.50892198
2000,11,Bhutan,6.65929392,3.640214282,3.433987204,3.133877693,4.429625613,780.0000002,,,,,,,,,,,,,,,,22.96285,6.65929392,10.6,83.9,4.044716201
2012,11,Bhutan,7.749322465,4.032469159,3.899950424,3.246131005,4.584967479,2320.000001,,,,,,,,,,,,,,,,25.69075,7.749322465,2.4,98,5.006225453
2000,12,Bolivia,6.897704943,3.867025639,3.629660094,3.551955169,4.364371699,989.9999999,,,,,,,,,,,,,,,,34.88145,6.897704943,33.9,78.6,4.642389576
2012,12,Bolivia,7.731930722,4.072439727,3.879499814,3.254125587,4.483002552,2280,,,,,,,,,,,,,,,,25.89696,7.731930722,18.7,88.5,6.102004504
2000,13,Bosnia and Herzegovina,7.29301768,4.493120682,4.552823706,3.763893462,4.579852378,1470,,,,,,,,,,,,,,,,43.11597,7.29301768,0.7,97.5,5.042041304
2012,13,Bosnia and Herzegovina,8.453187861,4.515245478,4.551769409,3.325342089,4.600157644,4689.999998,,,,,,,,,,,,,,,,27.80851,8.453187861,0.01,99.5,6.05799353
2000,14,Botswana,8.006367568,2.674148649,3.943521672,2.623362667,4.550714,3000.000001,,,,,,,,,,,,,,,,13.78199,8.006367568,23.4,94.7,5.571236185
2012,14,Botswana,8.87626526,3.605497845,4.133565275,1.542589098,4.565389316,7160,,,,,,,,,,,,,,,,4.676683,8.87626526,14.9,96.1,6.892563005
2000,15,Brazil,8.253227646,4.25561271,4.313480092,3.636339857,4.537961436,3840.000002,,,,,,,,,,,,,,,,37.95267,8.253227646,9.1,93.5,4.583766701
2012,15,Brazil,9.394327208,4.30676415,4.401829262,3.292163461,4.579852378,12020,,,,,,,,,,,,,,,,26.901,9.394327208,3,97.5,6.252832628
2000,16,Bulgaria,7.414572881,4.520701029,4.449685283,3.665315236,4.602165677,1659.999999,,,,,,,,,,,,,,,,39.06845,7.414572881,0.01,99.7,2.440286385
2012,16,Bulgaria,8.890135108,4.540098189,4.454347296,3.750033112,4.600157644,7260.000001,,,,,,,,,,,,,,,,42.52249,8.890135108,0.01,99.5,3.579381759
2000,17,Burkina Faso,5.521460918,2.949688335,2.451005098,4.038168313,4.092676505,250,,,,,,,,,,,,,,,,56.72235,5.521460918,69.9,59.9,1.856914647
2012,17,Burkina Faso,6.461468176,3.465735903,2.923161581,3.637828499,4.403054002,639.9999998,,,,,,,,,,,,,,,,38.00921,6.461468176,56.8,81.7,3.012934198
2000,18,Burundi,4.86753445,2.975529566,3.790984677,3.954972144,4.273884476,129.9999999,,,,,,,,,,,,,,,,52.19424,4.86753445,3,71.8,4.079331051
2012,18,Burundi,5.480638923,3.346389145,3.860729711,3.087261223,4.321480135,239.9999999,,,,,,,,,,,,,,,,21.91697,5.480638923,2.8,75.3,5.082412244
2000,19,Cabo Verde,7.222566019,4.070734697,3.77505715,3.236845793,4.411585437,1370,,,,,,,,,,,,,,,,25.45331,7.222566019,41,82.4,2.8696424
2012,19,Cabo Verde,8.151909873,4.229749199,4.220977213,3.191846605,4.50313746,3470,,,,,,,,,,,,,,,,24.33332,8.151909873,26.4,90.3,4.079572783
2000,20,Cambodia,5.703782475,3.46260601,2.791165108,4.339314182,3.728100167,300.0000001,,,,,,,,,,,,,,,,76.65495,5.703782475,74.6,41.6,3.262637713
2012,20,Cambodia,6.779921907,3.947390149,3.616308761,4.262064336,4.231203745,879.9999996,,,,,,,,,,,,,,,,70.95631,6.779921907,53.2,68.8,3.97090143
2000,21,Cameroon,6.396929655,3.161246712,3.742420221,4.310053881,4.122283931,599.9999999,,,,,,,,,,,,,,,,74.4445,6.396929655,8.7,61.7,2.341370512
2012,21,Cameroon,7.114769448,3.433987204,3.811097087,4.171938119,4.305415532,1230,,,,,,,,,,,,,,,,64.841,7.114769448,6.1,74.1,2.834150598
2000,22,Central African Republic,5.521460918,2.747270914,2.844909384,3.846865413,4.135166557,250,,,,,,,,,,,,,,,,46.84599,5.521460918,28.3,62.5,2.343702588
2012,22,Central African Republic,6.173786104,3.000719815,3.068052935,3.835423131,4.222444565,480,,,,,,,,,,,,,,,,46.31302,6.173786104,22.5,68.2,3.373606517
2000,23,Chad,5.192956851,2.87356464,2.272125886,4.013050628,3.799973502,180,,,,,,,,,,,,,,,,55.31536,5.192956851,72.2,44.7,3.775655793
2012,23,Chad,6.866933284,3.044522438,2.48490665,3.815850374,3.925925911,959.9999996,,,,,,,,,,,,,,,,45.41536,6.866933284,64.6,50.7,5.795023068
2000,24,China,6.835184586,4.377014093,4.074141855,4.077190095,4.385769621,929.9999999,,,,,,,,,,,,,,,,58.97951,6.835184586,3.7,80.3,4.983652278
2012,24,China,8.677609913,4.467056884,4.291828367,3.536337646,4.534747722,5870.000001,,,,,,,,,,,,,,,,34.34092,8.677609913,0.8,93.2,6.303915529
2000,25,Colombia,7.749322465,4.050044303,4.312140507,2.503190968,4.498697941,2320.000001,,,,,,,,,,,,,,,,12.22143,7.749322465,10.5,89.9,2.573160512
2012,25,Colombia,8.874867636,4.238444906,4.384523515,2.677924271,4.513054897,7150.000002,,,,,,,,,,,,,,,,14.55485,8.874867636,5.2,91.2,4.012805842
2000,26,Comoros,6.040254711,3.538056564,3.222867846,4.046098375,4.500920165,419.9999999,,,,,,,,,,,,,,,,57.17395,6.040254711,0.6,90.1,2.89917306
2012,26,Comoros,6.646390515,3.624340933,3.532225644,3.740584889,4.500920165,770.0000001,,,,,,,,,,,,,,,,42.12262,6.646390515,0.7,90.1,2.68860522
2000,27,"Congo, Dem. Rep.",4.86753445,2.895911938,3.122364924,4.002989218,3.852273001,129.9999999,,,,,,,,,,,,,,,,54.7616,4.86753445,13,47.1,3.091346223
2012,27,"Congo, Dem. Rep.",5.857933154,3.152736022,3.317815773,3.629355539,3.939638172,349.9999998,,,,,,,,,,,,,,,,37.68852,5.857933154,10.7,51.4,4.843334291
2000,28,"Congo, Rep.",6.345636361,3.144152279,2.541601993,3.737863171,4.237000863,570.0000001,,,,,,,,,,,,,,,,42.00813,6.345636361,8.6,69.2,5.667835522
2012,28,"Congo, Rep.",7.828038032,3.404525172,2.681021529,2.994171556,4.321480135,2510,,,,,,,,,,,,,,,,19.96881,7.828038032,8.2,75.3,6.835702729
2000,29,Costa Rica,8.218787156,4.370712875,4.515245478,2.928953378,4.55492897,3710.000001,,,,,,,,,,,,,,,,18.70804,8.218787156,1.1,95.1,3.661926396
2012,29,Costa Rica,9.120415664,4.416428061,4.54648119,3.192876349,4.579852378,9139.999996,,,,,,,,,,,,,,,,24.35839,9.120415664,0.1,97.5,4.365874435
2000,30,Cote d'Ivoire,6.461468176,3.04927304,2.867898902,4.012741082,4.355425953,639.9999998,,,,,,,,,,,,,,,,55.29824,6.461468176,32.9,77.9,5.114002113
2012,30,Cote d'Ivoire,7.138867,3.424262655,3.072693315,3.957799299,4.396915247,1260,,,,,,,,,,,,,,,,52.34201,7.138867,27.5,81.2,6.318465982
2000,31,Cuba,7.870929597,4.378269586,4.462453884,2.215867927,4.506454213,2620.000001,,,,,,,,,,,,,,,,9.169364,7.870929597,1.8,90.6,3.790219289
2012,31,Cuba,8.354674262,4.448516376,4.529368473,1.766218901,4.544358047,4250,,,,,,,,,,,,,,,,5.848697,8.354674262,0.7,94.1,4.955623415
2000,32,Djibouti,6.633318433,3.417726684,4.085976313,3.45742616,4.410371108,759.9999998,,,,,,,,,,,,,,,,31.73519,6.633318433,18.3,82.3,5.094084946
2012,32,Djibouti,7.878534196,3.589059119,3.856510295,3.711202432,4.498697941,2640,,,,,,,,,,,,,,,,40.90296,7.878534196,20.2,89.9,5.536528025
2000,33,Dominican Republic,7.874739125,4.087655574,4.350277936,3.763185585,4.463606622,2630,,,,,,,,,,,,,,,,43.08546,7.874739125,6.9,86.8,3.892013563
2012,33,Dominican Republic,8.641179171,4.254193263,4.417635062,3.261216282,4.447346101,5659.999999,,,,,,,,,,,,,,,,26.08124,8.641179171,3.4,85.4,5.908622689
2000,34,Ecuador,7.339537695,4.091005661,4.244200318,4.137876162,4.378269586,1539.999999,,,,,,,,,,,,,,,,62.66958,7.339537695,13.5,79.7,4.353145074
2012,34,Ecuador,8.596004372,4.204692619,4.416428061,3.924723018,4.453183829,5410.000001,,,,,,,,,,,,,,,,50.63905,8.596004372,5.4,85.9,5.079942214
2000,35,"Egypt, Arab Rep.",7.258412151,4.348986781,4.434381865,4.061684481,4.563305982,1420.000001,,,,,,,,,,,,,,,,58.07205,7.258412151,4.7,95.9,5.218413062
2012,35,"Egypt, Arab Rep.",7.955074273,4.439115602,4.550714,4.053290944,4.593097605,2849.999999,,,,,,,,,,,,,,,,57.58666,7.955074273,0.01,98.8,5.571887626
2000,36,El Salvador,7.677863501,4.053522568,4.133565275,3.925079201,4.401829262,2160.000001,,,,,,,,,,,,,,,,50.65709,7.677863501,10.8,81.6,3.986102598
2012,36,El Salvador,8.224163513,4.151039906,4.284964922,3.477933706,4.517431272,3730.000001,,,,,,,,,,,,,,,,32.39272,8.224163513,3.8,91.6,6.74812369
2000,37,Equatorial Guinea,6.779921907,3.321432413,4.384523515,2.810253538,3.856510295,879.9999996,,,,,,,,,,,,,,,,16.61413,6.779921907,4.4,47.3,2.181648708
2012,37,Equatorial Guinea,9.430278792,3.440418095,4.316153891,2.656475464,3.864931398,12460,,,,,,,,,,,,,,,,14.24599,9.430278792,4.4,47.7,2.934462661
2000,38,Eritrea,5.298317367,2.821378886,2.433613355,4.161677613,3.931825633,200.0000001,,,,,,,,,,,,,,,,64.1791,5.298317367,85.9,51,4.778212899
2012,38,Eritrea,7.244227516,3.602776755,2.727852828,3.97971642,4.051784948,1400.000001,,,,,,,,,,,,,,,,53.50186,7.244227516,78,57.5,5.838435668
2000,39,Gabon,8.03592637,3.446807893,3.658420247,3.91430061,4.428433007,3090,,,,,,,,,,,,,,,,50.11401,8.03592637,2,83.8,3.136446516
2012,39,Gabon,9.195226734,3.594568775,3.723280881,3.045543345,4.523960131,9849.999998,,,,,,,,,,,,,,,,21.02145,9.195226734,1.8,92.2,3.431331601
2000,40,"Gambia, The",6.507277712,3.284663565,4.08933202,3.565995179,4.415219602,669.9999997,,,,,,,,,,,,,,,,35.37464,6.507277712,5.1,82.7,3.806405361
2012,40,"Gambia, The",6.253828812,3.453157121,4.072439727,3.045584255,4.500920165,520.0000002,,,,,,,,,,,,,,,,21.02231,6.253828812,1.9,90.1,5.792061641
2000,41,Georgia,6.620073207,4.517431272,4.561218298,4.412916953,4.492001488,750.0000004,,,,,,,,,,,,,,,,82.50979,6.620073207,1.1,89.3,2.506877286
2012,41,Georgia,8.261009786,4.537961436,4.478472533,4.133689306,4.588024027,3870,,,,,,,,,,,,,,,,62.40774,8.261009786,1.1,98.3,4.36492187
2000,42,Ghana,5.828945618,3.370738174,2.332143895,3.459419119,4.25561271,340.0000001,,,,,,,,,,,,,,,,31.7985,5.828945618,21.2,70.5,4.462071807
2012,42,Ghana,7.358830898,3.725693427,2.667228207,3.28082813,4.447346101,1569.999999,,,,,,,,,,,,,,,,26.59779,7.358830898,19.8,85.4,5.335205597
2000,43,Guatemala,7.414572881,3.6558396,4.000033883,4.042334169,4.429625613,1659.999999,,,,,,,,,,,,,,,,56.95914,7.414572881,14.1,83.9,2.465153643
2012,43,Guatemala,8.029432841,3.854393893,4.141546164,4.014962553,4.521788577,3070.000001,,,,,,,,,,,,,,,,55.42122,8.029432841,5.9,92,3.268598062
2000,44,Guinea,5.940171253,3.104586678,2.557227311,4.095297941,4.138361448,380.0000001,,,,,,,,,,,,,,,,60.05723,5.940171253,30.1,62.7,4.027961962
2012,44,Guinea,6.063785209,3.430756184,2.939161922,3.984107546,4.314817885,430.0000001,,,,,,,,,,,,,,,,53.73731,6.063785209,17.2,74.8,5.508607128
2000,45,Guyana,6.779921907,4.128745989,4.371976299,2.575511839,4.456670178,879.9999996,,,,,,,,,,,,,,,,13.13804,6.779921907,1.9,86.2,3.256863311
2012,45,Guyana,8.188689124,4.201703081,4.42604352,3.443795718,4.563305982,3599.999998,,,,,,,,,,,,,,,,31.30556,8.188689124,0.3,95.9,4.319090966
2000,46,Haiti,5.480638923,3.580737295,3.044522438,3.91965342,4.107589789,239.9999999,,,,,,,,,,,,,,,,50.38298,5.480638923,37.8,60.8,4.334456885
2012,46,Haiti,6.620073207,3.873282177,3.284663565,3.325805509,4.069026754,750.0000004,,,,,,,,,,,,,,,,27.8214,6.620073207,21.4,58.5,5.456320163
2000,47,Honduras,6.82437367,3.906004933,4.147885329,3.772051261,4.391976966,920,,,,,,,,,,,,,,,,43.46914,6.82437367,20.4,80.8,2.975994144
2012,47,Honduras,7.696212639,4.107589789,4.382026635,3.896991801,4.492001488,2199.999999,,,,,,,,,,,,,,,,49.25406,7.696212639,6.8,89.3,4.173255237
2000,48,India,6.109247583,3.879499814,3.242592351,4.217374697,4.38949865,450.0000001,,,,,,,,,,,,,,,,67.85511,6.109247583,63.3,80.6,2.736496042
2012,48,India,7.313220387,4.091005661,3.624340933,4.172599365,4.523960131,1500,,,,,,,,,,,,,,,,64.88389,7.313220387,47.3,92.2,4.675035528
2000,49,Indonesia,6.327936784,4.119037175,3.852273001,3.829527743,4.355425953,560.0000002,,,,,,,,,,,,,,,,46.04079,6.327936784,30.6,77.9,5.435902041
2012,49,Indonesia,8.183118079,4.266896327,4.074141855,3.814369602,4.450852826,3579.999999,,,,,,,,,,,,,,,,45.34816,8.183118079,21.9,85.7,6.235572475
2000,50,"Iran, Islamic Rep.",7.473069088,4.244200318,4.368181228,4.028269929,4.544358047,1760,,,,,,,,,,,,,,,,56.16366,7.473069088,0.7,94.1,5.298038934
2012,50,"Iran, Islamic Rep.",8.85509298,4.335982696,4.49535532,3.912262377,4.564348191,7010,,,,,,,,,,,,,,,,50.01197,8.85509298,0.2,96,5.713471096
2000,51,Jamaica,8.098642844,4.238444906,4.390738575,3.366265299,4.537961436,3290.000001,,,,,,,,,,,,,,,,28.97013,8.098642844,0.8,93.5,5.14364318
